        Measured Period [us]    Set Period [us]    Error [%]
 518                     397                 25        -1488
 519                     396                 25        -1484
 520                     397                 25        -1488
 521                     397                 25        -1488
 522                     397                 25        -1488
 523                     397                 25        -1488
 524                     397                 25        -1488
 525                     396                 25        -1484
 526                     397                 25        -1488
 527                     397                 25        -1488
 528                     397                 25        -1488
 529                     397                 25        -1488
 530                     396                 25        -1484
 531                     397                 25        -1488
 532                     397                 25        -1488
 533                     397                 25        -1488
 534                     397                 25        -1488
 535                     397                 25        -1488
 536                     396                 25        -1484
 537                     397                 25        -1488
 538                     397                 25        -1488
 539                     397                 25        -1488
 540                     397                 25        -1488
 541                     397                 25        -1488
 542                     396                 25        -1484
 543                     397                 25        -1488
 544                     397                 25        -1488
 545                     397                 25        -1488
 546                     397                 25        -1488
 547                     396                 25        -1484
 548                     397                 25        -1488
 549                     397                 25        -1488
 550                     397                 25        -1488
 551                     397                 25        -1488
 552                     397                 25        -1488
 553                     396                 25        -1484
 554                     397                 25        -1488
 555                     397                 25        -1488
 556                     397                 25        -1488
 557                     397                 25        -1488
 558                     396                 25        -1484
 559                     397                 25        -1488
 560                     397                 25        -1488
 561                     397                 25        -1488
 562                     397                 25        -1488
 563                     397                 25        -1488
 564                     396                 25        -1484
 565                     397                 25        -1488
 566                     397                 25        -1488
 567                     397                 25        -1488
 568                     397                 25        -1488
 569                     397                 25        -1488
 570                     396                 25        -1484
 571                     397                 25        -1488
 572                     397                 25        -1488
 573                     397                 25        -1488
 574                     397                 25        -1488
 575                     396                 25        -1484
 576                     397                 25        -1488
 577                     397                 25        -1488
 578                     397                 25        -1488
 579                     397                 25        -1488
 580                     397                 25        -1488
 581                     396                 25        -1484
 582                     397                 25        -1488
 583                     397                 25        -1488
 584                     397                 25        -1488
 585                     397                 25        -1488
 586                     396                 25        -1484
 587                     397                 25        -1488
 588                     397                 25        -1488
 589                     397                 25        -1488
 590                     397                 25        -1488
 591                     397                 25        -1488
 592                     396                 25        -1484
 593                     397                 25        -1488
 594                     397                 25        -1488
 595                     397                 25        -1488
 596                     397                 25        -1488
 597                     397                 25        -1488
 598                     396                 25        -1484
 599                     397                 25        -1488
 600                     397                 25        -1488
 601                     397                 25        -1488
 602                     397                 25        -1488
 603                     396                 25        -1484
 604                     397                 25        -1488
 605                     397                 25        -1488
 606                     397                 25        -1488
 607                     397                 25        -1488
 608                     397                 25        -1488
 609                     396                 25        -1484
 610                     397                 25        -1488
 611                     397                 25        -1488
 612                     397                 25        -1488
 613                     397                 25        -1488
 614                     396                 25        -1484
 615                     397                 25        -1488
 616                     397                 25        -1488
 617                     397                 25        -1488
 618                     397                 25        -1488
 619                     397                 25        -1488
 620                     396                 25        -1484
 621                     397                 25        -1488
 622                     397                 25        -1488
 623                     397                 25        -1488
 624                     397                 25        -1488
 625                     397                 25        -1488
 626                     396                 25        -1484
 627                     397                 25        -1488
 628                     397                 25        -1488
 629                     397                 25        -1488
 630                     397                 25        -1488
 631                     396                 25        -1484
 632                     397                 25        -1488
 633                     397                 25        -1488
 634                     397                 25        -1488
 635                     397                 25        -1488
 636                     397                 25        -1488
 637                     396                 25        -1484
 638                     397                 25        -1488
