        Measured Period [us]    Set Period [us]    Error [%]
 324                993                    1000      0.7
 325                993                    1000      0.7
 326                994.938                1000      0.50625
 327                994.938                1000      0.50625
 328                995                    1000      0.5
 329                994.938                1000      0.50625
 330                993                    1000      0.7
 331                992.938                1000      0.70625
 332                995                    1000      0.5
 333                994.938                1000      0.50625
 334                994.938                1000      0.50625
 335                995                    1000      0.5
 336                992.938                1000      0.70625
 337                993                    1000      0.7
 338                994.938                1000      0.50625
 339                995                    1000      0.5
 340                994.938                1000      0.50625
 341                994.938                1000      0.50625
 342                993                    1000      0.7
 343                993                    1000      0.7
 344                994.938                1000      0.50625
 345                994.938                1000      0.50625
 346                995                    1000      0.5
 347                994.938                1000      0.50625
 348                993                    1000      0.7
 349                992.938                1000      0.70625
 350                995                    1000      0.5
 351                994.938                1000      0.50625
 352                994.938                1000      0.50625
 353                995                    1000      0.5
 354                992.938                1000      0.70625
 355                993                    1000      0.7
 356                994.938                1000      0.50625
 357                995                    1000      0.5
 358                994.938                1000      0.50625
 359                994.938                1000      0.50625
 360                995                    1000      0.5
 361                994.938                1000      0.50625
 362                993                    1000      0.7
 363                992.938                1000      0.70625
 364                995                    1000      0.5
 365                994.938                1000      0.50625
 366                993                    1000      0.7
 367                992.938                1000      0.70625
 368                995                    1000      0.5
 369                994.938                1000      0.50625
 370                994.938                1000      0.50625
 371                995                    1000      0.5
 372                994.938                1000      0.50625
 373                994.938                1000      0.50625
 374                993                    1000      0.7
 375                993                    1000      0.7
 376                994.938                1000      0.50625
 377                994.938                1000      0.50625
 378                995                    1000      0.5
 379                994.938                1000      0.50625
 380                993                    1000      0.7
 381                992.938                1000      0.70625
 382                995                    1000      0.5
 383                994.938                1000      0.50625
 384                994.938                1000      0.50625
 385                995                    1000      0.5
 386                992.938                1000      0.70625
 387                993                    1000      0.7
 388                994.938                1000      0.50625
 389                995                    1000      0.5
 390                994.938                1000      0.50625
 391                994.938                1000      0.50625
 392                993                    1000      0.7
 393                993                    1000      0.7
 394                994.938                1000      0.50625
 395                994.938                1000      0.50625
 396                995                    1000      0.5
 397                994.938                1000      0.50625
 398                993                    1000      0.7
 399                992.938                1000      0.70625
 400                995                    1000      0.5
 401                994.938                1000      0.50625
 402                994.938                1000      0.50625
 403                995                    1000      0.5
 404                992.938                1000      0.70625
 405                993                    1000      0.7
