        Measured Period [us]    Set Period [us]    Error [%]
 416                     397                 25        -1488
 417                     397                 25        -1488
 418                     397                 25        -1488
 419                     397                 25        -1488
 420                     396                 25        -1484
 421                     397                 25        -1488
 422                     397                 25        -1488
 423                     397                 25        -1488
 424                     397                 25        -1488
 425                     396                 25        -1484
 426                     397                 25        -1488
 427                     397                 25        -1488
 428                     397                 25        -1488
 429                     397                 25        -1488
 430                     397                 25        -1488
 431                     396                 25        -1484
 432                     397                 25        -1488
 433                     397                 25        -1488
 434                     397                 25        -1488
 435                     397                 25        -1488
 436                     397                 25        -1488
 437                     396                 25        -1484
 438                     397                 25        -1488
 439                     397                 25        -1488
 440                     397                 25        -1488
 441                     397                 25        -1488
 442                     397                 25        -1488
 443                     396                 25        -1484
 444                     397                 25        -1488
 445                     397                 25        -1488
 446                     397                 25        -1488
 447                     397                 25        -1488
 448                     397                 25        -1488
 449                     396                 25        -1484
 450                     397                 25        -1488
 451                     397                 25        -1488
 452                     397                 25        -1488
 453                     397                 25        -1488
 454                     397                 25        -1488
 455                     396                 25        -1484
 456                     397                 25        -1488
 457                     397                 25        -1488
 458                     397                 25        -1488
 459                     397                 25        -1488
 460                     397                 25        -1488
 461                     396                 25        -1484
 462                     397                 25        -1488
 463                     397                 25        -1488
 464                     397                 25        -1488
 465                     397                 25        -1488
 466                     396                 25        -1484
 467                     397                 25        -1488
 468                     397                 25        -1488
 469                     397                 25        -1488
 470                     397                 25        -1488
 471                     397                 25        -1488
 472                     396                 25        -1484
 473                     397                 25        -1488
 474                     397                 25        -1488
 475                     397                 25        -1488
 476                     397                 25        -1488
 477                     397                 25        -1488
 478                     396                 25        -1484
 479                     397                 25        -1488
 480                     397                 25        -1488
 481                     397                 25        -1488
 482                     397                 25        -1488
 483                     397                 25        -1488
 484                     396                 25        -1484
 485                     397                 25        -1488
 486                     397                 25        -1488
 487                     397                 25        -1488
 488                     397                 25        -1488
 489                     397                 25        -1488
 490                     396                 25        -1484
 491                     397                 25        -1488
 492                     397                 25        -1488
 493                     397                 25        -1488
 494                     397                 25        -1488
 495                     397                 25        -1488
 496                     396                 25        -1484
 497                     397                 25        -1488
 498                     397                 25        -1488
 499                     397                 25        -1488
 500                     397                 25        -1488
 501                     397                 25        -1488
 502                     396                 25        -1484
 503                     397                 25        -1488
 504                     397                 25        -1488
 505                     397                 25        -1488
 506                     397                 25        -1488
 507                     396                 25        -1484
 508                     397                 25        -1488
 509                     397                 25        -1488
 510                     397                 25        -1488
 511                     397                 25        -1488
 512                     397                 25        -1488
 513                     396                 25        -1484
 514                     397                 25        -1488
 515                     397                 25        -1488
 516                     397                 25        -1488
 517                     397                 25        -1488
 518                     397                 25        -1488
 519                     396                 25        -1484
 520                     397                 25        -1488
 521                     397                 25        -1488
 522                     397                 25        -1488
 523                     397                 25        -1488
 524                     397                 25        -1488
 525                     396                 25        -1484
 526                     397                 25        -1488
 527                     397                 25        -1488
 528                     397                 25        -1488
 529                     397                 25        -1488
 530                     397                 25        -1488
 531                     396                 25        -1484
 532                     397                 25        -1488
 533                     397                 25        -1488
 534                     397                 25        -1488
 535                     397                 25        -1488
 536                     397                 25        -1488
 537                     396                 25        -1484
 538                     397                 25        -1488
 539                     397                 25        -1488
 540                     397                 25        -1488
 541                     397                 25        -1488
 542                     397                 25        -1488
 543                     396                 25        -1484
 544                     397                 25        -1488
 545                     397                 25        -1488
 546                     397                 25        -1488
 547                     397                 25        -1488
 548                     397                 25        -1488
 549                     396                 25        -1484
 550                     397                 25        -1488
 551                     397                 25        -1488
 552                     397                 25        -1488
 553                     397                 25        -1488
 554                     396                 25        -1484
 555                     397                 25        -1488
 556                     397                 25        -1488
 557                     397                 25        -1488
 558                     397                 25        -1488
 559                     397                 25        -1488
 560                     396                 25        -1484
 561                     397                 25        -1488
 562                     397                 25        -1488
 563                     397                 25        -1488
 564                     397                 25        -1488
 565                     397                 25        -1488
 566                     396                 25        -1484
 567                     397                 25        -1488
 568                     397                 25        -1488
 569                     397                 25        -1488
 570                     397                 25        -1488
 571                     397                 25        -1488
 572                     396                 25        -1484
 573                     397                 25        -1488
 574                     397                 25        -1488
 575                     397                 25        -1488
 576                     397                 25        -1488
 577                     397                 25        -1488
 578                     396                 25        -1484
 579                     397                 25        -1488
 580                     397                 25        -1488
 581                     397                 25        -1488
 582                     397                 25        -1488
 583                     397                 25        -1488
 584                     396                 25        -1484
 585                     397                 25        -1488
 586                     397                 25        -1488
 587                     397                 25        -1488
 588                     397                 25        -1488
 589                     397                 25        -1488
 590                     396                 25        -1484
 591                     397                 25        -1488
 592                     397                 25        -1488
 593                     397                 25        -1488
 594                     397                 25        -1488
 595                     396                 25        -1484
 596                     397                 25        -1488
 597                     397                 25        -1488
 598                     397                 25        -1488
 599                     397                 25        -1488
 600                     397                 25        -1488
 601                     396                 25        -1484
 602                     397                 25        -1488
 603                     397                 25        -1488
 604                     397                 25        -1488
 605                     397                 25        -1488
 606                     397                 25        -1488
 607                     396                 25        -1484
 608                     397                 25        -1488
 609                     397                 25        -1488
 610                     397                 25        -1488
 611                     397                 25        -1488
 612                     397                 25        -1488
 613                     396                 25        -1484
 614                     397                 25        -1488
 615                     397                 25        -1488
 616                     397                 25        -1488
 617                     397                 25        -1488
 618                     397                 25        -1488
 619                     396                 25        -1484
 620                     397                 25        -1488
 621                     397                 25        -1488
 622                     397                 25        -1488
 623                     397                 25        -1488
 624                     397                 25        -1488
 625                     396                 25        -1484
 626                     397                 25        -1488
 627                     397                 25        -1488
 628                     397                 25        -1488
 629                     397                 25        -1488
 630                     397                 25        -1488
 631                     396                 25        -1484
 632                     397                 25        -1488
 633                     397                 25        -1488
 634                     397                 25        -1488
 635                     397                 25        -1488
 636                     397                 25        -1488
 637                     396                 25        -1484
 638                     397                 25        -1488
 639                     397                 25        -1488
 640                     397                 25        -1488
 641                     397                 25        -1488
 642                     396                 25        -1484
 643                     397                 25        -1488
 644                     397                 25        -1488
 645                     397                 25        -1488
 646                     397                 25        -1488
 647                     397                 25        -1488
 648                     396                 25        -1484
 649                     397                 25        -1488
 650                     397                 25        -1488
 651                     397                 25        -1488
 652                     397                 25        -1488
 653                     397                 25        -1488
 654                     396                 25        -1484
 655                     397                 25        -1488
 656                     397                 25        -1488
 657                     397                 25        -1488
 658                     397                 25        -1488
 659                     397                 25        -1488
 660                     396                 25        -1484
 661                     397                 25        -1488
 662                     397                 25        -1488
 663                     397                 25        -1488
 664                     397                 25        -1488
 665                     397                 25        -1488
 666                     396                 25        -1484
 667                     397                 25        -1488
 668                     397                 25        -1488
 669                     397                 25        -1488
 670                     397                 25        -1488
 671                     397                 25        -1488
 672                     396                 25        -1484
 673                     397                 25        -1488
 674                     397                 25        -1488
 675                     397                 25        -1488
 676                     397                 25        -1488
 677                     397                 25        -1488
 678                     396                 25        -1484
 679                     397                 25        -1488
 680                     397                 25        -1488
 681                     397                 25        -1488
 682                     397                 25        -1488
 683                     396                 25        -1484
 684                     397                 25        -1488
 685                     397                 25        -1488
 686                     397                 25        -1488
 687                     397                 25        -1488
 688                     397                 25        -1488
 689                     396                 25        -1484
 690                     397                 25        -1488
 691                     397                 25        -1488
 692                     397                 25        -1488
 693                     397                 25        -1488
 694                     397                 25        -1488
 695                     396                 25        -1484
 696                     397                 25        -1488
 697                     397                 25        -1488
 698                     397                 25        -1488
